Bill_id,Bill_description,Patron_id,Patron_name
HB926,"Outdoor shooting of firearm on property without reasonable care; prohibition, penalty.",H0239,Lopez
HB927,"Human trafficking; creates process for use of digital identification and reporting platforms, etc.",H0345,Tata
HB928,"Electric utilities; small portable solar generation devices, local regulation.",H0239,Lopez
HB929,"Uniform Power of Attorney Act; acknowledged power of attorney, definition.",H0264,Simon
HB930,Protection of employees; retaliatory action against employee prohibited.,H0264,Simon
HB931,Recovery residences; regulations.,H0264,Simon
HB932,"General Assembly; recodification of Title 30, effective clause for certain enactments.",H0264,Simon
HB933,"Penalties for failure to appear; definition, contempt.",H0264,Simon
HB934,"Alcoholic beverage control; distiller's licensees as agents of Board, sale of alcoholic beverages.",H0264,Simon
HB935,"Virginia Clean Energy and Battery Storage Promotion Program; established, report.",H0239,Lopez
HB936,"Parking violations; enforcement by certain counties, parking ordinances or regulations, sunset.",H0239,Lopez
HB937,Virginia Resiliency Grant Program and Fund; established and created.,H0393,"Franklin, L.V."
HB938,"PFAS monitoring; DEQ to require for industrial wastewater source, publicly owned treatment works.",H0336,Clark
HB939,"Higher ed. institu., baccalaureate public; board of visitors of Richard Bland College, membership.",H0393,"Franklin, L.V."
HB940,"Suffolk, City of; amending charter, clarifying membership of city council.",H0336,Clark
HB941,High school graduation requirements; hands-on bleeding control training.,H0336,Clark
HB942,Custody and visitation of a child; possession or consumption of authorized substances.,H0336,Clark
HB943,Campus police officers; free use of toll facilities.,H0393,"Franklin, L.V."
HB944,"Workplace violence; policy required for certain employers, civil penalty, delayed effective date.",H0336,Clark
HB945,"Geothermal energy; Dept. of Energy to study, SCC to establish requirements for high energy users.",H0336,Clark
HB946,"Income tax, state; affordable rental housing tax credit.",H0393,"Franklin, L.V."
HB947,Virginia Youth Empowerment and Mentoring Grant Fund and Program; created and established.,H0311,Askew
HB948,"Virginia Minimum Wage Act; enforcement, penalties.",H0340,Maldonado
HB949,"Covenants not to compete; exceptions, civil penalty.",H0239,Lopez
HB950,"Unmanned aircraft systems; use by public bodies, search warrant required, exceptions.",H0239,Lopez
HB951,"Housing and Community Development, Board of; ad hoc committees.",H0239,Lopez
HB952,Chesapeake Bay Watershed Nutrient Credit Exchange Program; certain industrial stormwater permittees.,H0239,Lopez
HB953,"Future of redevelopment and housing authorities; DHCD, et al., to examine, report.",H0297,Guzman
HB954,"Rounding procedures; taxes and fees calculated, report.",H0108,Watts
HB955,Certain student enrollment data; State Council of Higher Education for Virginia to annually report.,H0297,Guzman
HB956,License taxes; deduction for out-of-state receipts.,H0108,Watts
HB957,"Public elementary & secondary schools; use 988 Suicide & Crisis Lifeline to address bullying, etc.",H0297,Guzman
HB958,"Income tax, corporate; taxable income, net operating loss.",H0108,Watts
HB959,"Income tax, state; retirement income of certain federal employees.",H0108,Watts
HB960,"Personal property taxes; valuation, effective clause.",H0108,Watts
HB961,"Retail Sales and Use Tax; commercial and industrial exemptions, data centers.",H0108,Watts
HB962,"Employer seeking wage or salary history of prospective employees; prohibited, etc.",H0396,Mehta
HB963,"Constitutional amendment; qualifications of voters, right to vote, persons not entitled to vote.",H0284,Price
HB964,Voter registration; restoration of political rights upon release from incarceration.,H0284,Price
HB965,National Popular Vote Compact; enters Virginia into an interstate compact.,H0284,Price
HB966,Systematic Alien Verification for Entitlements Program (SAVE Program); use by Dept. of Elections.,H0284,Price
HB967,Voting Rights Act of Virginia; revises provisions.,H0284,Price
HB968,"Election results; counting machine-readable ballots, processing absentee ballots.",H0284,Price
HB969,"Virginia Gun Violence Prevention Center; work group to develop policy, etc., to establish.",H0284,Price
HB970,"Dental assistants; supragingival scaling and coronal polishing, certification.",H0284,Price
HB971,"College student-athletes; biometric data, protections and limitations.",H0284,Price
HB972,"Voter registration; list maintenance activities, cancellation procedures, required record matches.",H0284,Price
HB973,"Health records; disclosure of laboratory test results, waiting period.",H0284,Price
HB974,Witness impeachment evidence designation; review process.,H0284,Price
HB975,"Alcoholic beverage control; food-to-beverage ratio, report.",H0334,Bennett-Parker
HB976,Person in temporary detention process; alternative transportation provider.,H0284,Price
HB977,Tax laws of the Commonwealth; conformity to the Internal Revenue Code.,H0108,Watts
HB978,"Retail Sales and Use Tax; taxation on various services, includes digital personal property.",H0108,Watts
HB979,Taxation provisions; increases standard deduction.,H0108,Watts
HB980,"Alcoholic beverage control; voluntary no-buy program, etc.",H0362,Garrett
HB981,"Criminal cases; prosecutorial misconduct, reasonable costs and attorney fees.",H0362,Garrett
HB982,"Political campaign advertisements; synthetic media, penalty.",H0362,Garrett
HB983,Immunization requirements for children; removes hepatitis B vaccine.,H0362,Garrett
HB984,"Virginia Consumer Protection Act; cash payments, discrimination prohibited, penalty.",H0362,Garrett
HB985,Local land use; authority for decision belongs solely to locality.,H0362,Garrett
HB986,"Fire Programs Fund; allocation, Virginia At Risk Fire Grant Program established.",H0362,Garrett
HB987,Virginia Retirement System; service credit for career and technical education teachers.,H0362,Garrett
HB988,Virginia Human Rights Act; unlawful discrimination.,H0362,Garrett
HB989,Sexual abuse of children; penalty.,H0362,Garrett
HB990,Virginia Higher Education Scholarship Act Fund and Program; created and established.,H0362,Garrett
HB991,"Income tax, state; subtraction for volunteer firefighters and emergency medical services personnel.",H0362,Garrett
HB992,Administrative Process Act; regulatory economic analysis required.,H0362,Garrett
HB993,Driver privilege cards and permits; discontinues issuance.,H0362,Garrett
HB994,Photo speed monitoring devices; placement and operation.,H0351,Seibold
HB995,Trees; conservation of during land development process in Planning District 8 minimum tree canopy.,H0351,Seibold
HB996,Postsecondary Education Rehabilitation Transition Program; plan for expansion of Program.,H0351,Seibold
HB997,"Long-term care insurance; premium rate increases, regulations.",H0351,Seibold
HB998,"Menstrual products ingredient labeling; restriction of substances, delayed effective date.",H0351,Seibold
HB999,"Virginia Human Rights Act; equal credit opportunities, Virginia Fair Housing Law, nondiscrimination.",H0314,"Cole, J.G."
HB1000,"Rappahannock Area Transportation Authority; created, funding, Planning District 16.",H0314,"Cole, J.G."
HB1001,"Virginia College Access and Affordability Scholarship Fund; established, report.",H0305,Tran
HB1002,"Utilities, certain; notice procedures for nonpayment.",H0305,Tran
HB1003,"Transportation network companies; establishes minimum compensation rates, civil penalty.",H0305,Tran
HB1004,"Income tax, state; creates child tax credit.",H0305,Tran
HB1005,"Virginia Residential Landlord and Tenant Act; rental payment methods, prohibited fees.",H0305,Tran
HB1006,Schedule VI controlled substances; TPA-certified optometrists permitted to sell and dispense.,H0305,Tran
HB1007,Virginia Birth-Related Neurological Injury Compensation Program and Fund; filing of claims.,H0305,Tran
HB1008,"Motor vehicle sales and use tax; exemption for electric vehicles, etc.",H0305,Tran
HB1009,"Administration of government; language access equity, report.",H0305,Tran
HB1010,"School crossing zones; large children's sports complexes, Planning District 8 (Northern Virginia).",H0305,Tran
HB1011,"Compost and other products containing organic soil amendments; waste disposal infrastructure, etc.",H0305,Tran
HB1012,School access corridors; snow and ice removal in Planning District 8 (Northern Virginia).,H0305,Tran
HB1013,"Diamondback terrapin protection areas; MRC to develop in portions of Chesapeake Bay, etc.",H0305,Tran
HB1014,Incapacitated persons; finding of lack of capacity to understand act of voting.,H0305,Tran
HB1015,"Firearms, etc.; carrying concealed weapon by persons convicted of misdemeanor hate crime prohibited.",H0305,Tran
HB1016,Cats and dogs; Virginia Cooperative Extension Service to create a list of toxic houseplants.,H0305,Tran
HB1017,"School boards; excusing students from attendance at school, verified medical reasons.",H0305,Tran
HB1018,"Veterans & Defense Affairs, Sec. of; study to recommend plan to guide legislation rel. to veterans.",H0380,Reaser
HB1019,Health Coordination Network Program; patient data collection.,H0380,Reaser
HB1020,Sexual abuse during infancy or incapacity; accrual.,H0380,Reaser
HB1021,Affordable housing; development of an assisted living facility.,H0380,Reaser
HB1022,"Consumer protection; automatic renewal or continuous service offers, disclosure and cancellation.",H0380,Reaser
HB1023,Part-time or adjunct instructor in public schools; locally awarded subject matter expert credential.,H0325,Walker
HB1024,"Community Services Block Grant Program; revision of funding allocation formula, report.",H0325,Walker
HB1025,"Access to investigational drugs, etc.; patient with severely debilitating condition.",H0325,Walker
HB1026,Foreign-trained chiropractors; licensure by endorsement.,H0325,Walker
HB1027,"Children; use of communication systems to facilitate certain offenses, exception.",H0325,Walker
HB1028,"Search warrant; search of place of abode, copy of affidavit to be part of warrant.",H0325,Walker
HB1029,"Criminal complaint, warrant, summons, etc.; temporary sealing.",H0325,Walker
HB1030,"Parole; discretionary criteria guidelines, delayed effective date.",H0231,Wilt
HB1031,"Electric utilities; RPS requirements, Air Pollution Control Board regulations.",H0231,Wilt
HB1032,Rest areas and welcome centers; Department of Transportation to provide adult changing stations.,H0231,Wilt
HB1033,Va. Economic Dev. Partnership Authority; Division of Incentives; due diligence for major projects.,H0305,Tran
HB1034,"Charitable gaming; use of proceeds, adjusted gross receipts, effective date.",H0231,Wilt
HB1035,"Public schools; school security and discipline, employment of school security officers, training.",H0231,Wilt
HB1036,Dental hygienist licensure; dentists eligible to practice in a foreign country or jurisdiction.,H0305,Tran
HB1037,"Science SOL & Curriculum Framework; instructional material to include climate change, etc.",H0212,Carr
HB1038,Virginia Student Environmental Literacy Plan Grant Fund and Program; created and established.,H0212,Carr
HB1039,College and Career Ready Virginia Program; advisory committee and work group composition.,H0212,Carr
HB1040,VCU Health System Authority; changes relating to board of directors and chief executive officer.,H0212,Carr
HB1041,"DOC; powers and duties of Director, Virginia Prison Education Task Force established, report.",H0212,Carr
HB1042,"Zoning for Housing Production Pilot Program; created, affordable dwelling unit policy incentives.",H0212,Carr
HB1043,"Affordable and Special Needs Housing program, etc.; applicant notification of awards and denials.",H0212,Carr
HB1044,"Virginia Public Procurement Act; cooperative procurement, re-roofing.",H0212,Carr
HB1045,Va. Alcoholic Beverage Control Authority; annual mixed beverage performing arts facility license.,H0212,Carr
HB1046,Virginia Public Procurement Act; additional public works contract requirements.,H0212,Carr
HB1047,Va. War Memorial Foundation; Commissioner of Dept. of Veterans Services shall provide supervision.,H0212,Carr
HB1048,Menhaden reduction fishing; Marine Resources Commission to prohibit in the Chesapeake Bay.,H0212,Carr
HB1049,Menhaden reduction fishery; quota periods in Chesapeake Bay.,H0212,Carr
HB1050,"Chatham, Town of; amending charter, updating or removing outdated provisions.",H0384,Phillips
HB1051,"Income tax, state; real property tax relief credit.",H0384,Phillips
HB1052,"Pharmacy, Board of; increases membership, registered pharmacy technician.",H0384,Phillips
HB1053,GO Virginia grants; matching funds.,H0384,Phillips
HB1054,"Virginia Fire Personnel and Equipment Grant Program; established, report.",H0384,Phillips
HB1055,Virginia Law Officers' Retirement System; membership includes full-time sworn unit investigators.,H0384,Phillips
HB1056,Voter registration by political party affiliation; partially closed primary elections.,H0384,Phillips
HB1057,Virginia Rural Housing Infrastructure Fund and Program; created and established.,H0384,Phillips
HB1058,Industrial development authorities; housing allowed in certain localities.,H0384,Phillips
HB1059,Bath and Augusta Counties School Boards; cost-savings agreements.,H0247,Webert
HB1060,"Foster and adoptive homes; barrier crimes, exceptions.",H0354,Callsen
HB1061,Housing for local employees; grants for homeownership and workforce housing alternatives.,H0374,Martinez
HB1062,"Electric utilities; pilot program for electric energy conservation, solar energy generation.",H0366,Hernandez
HB1063,"Opioid antagonist; distribution program, reports.",H0238,Hodges
HB1064,Federal National Flood Insurance Program; guidance document.,H0238,Hodges
HB1065,"Electric utilities; comprehensive assessments, surplus interconnection service.",H0366,Hernandez
HB1066,"Middle Peninsula Chesapeake Bay Public Access Authority; expands powers, commercial fishing pier.",H0238,Hodges
HB1067,Regional emergency communications authorities; creation and powers.,H0238,Hodges
HB1068,"Higher educational institutions, livestreaming, etc., boards of visitors meetings.",H0238,Hodges
HB1069,"Higher educational institutions, certain; membership of boards of visitors.",H0371,Laufer
HB1070,Prior conviction; procedure for use as element of offense charged.,H0266,Rasoul
HB1071,Public elementary and secondary schools & higher educational institutions; threat assessment teams.,H0371,Laufer
HB1072,Sewage sludge; local authority to test and monitor land application within its political boundaries.,H0371,Laufer
HB1073,Advanced leak detection technologies; SCC shall establish standards for use by certain facilities.,H0266,Rasoul
HB1074,State taxation; numerous changes to the Commonwealth's tax structure.,H0366,Hernandez
HB1075,"State Corporation Commission; Phase I Utility biennial rate review, reports.",H0266,Rasoul
HB1076,Pharmaceutical Substance Manufacturing Grant Fund; created.,H0371,Laufer
HB1077,"Electric utilities; SCC to investigate financial incentives, renewable energy portfolio standard.",H0247,Webert
HB1078,"Virginia Residential Landlord and Tenant Act; adverse action by landlord, tenant remedies.",H0366,Hernandez
HB1079,Electric utilities; SCC to conduct and review an all-source competitive procurement.,H0247,Webert
HB1080,"Collection of taxes; memorandum of lien, time to process requested information.",H0247,Webert
HB1081,"Working Lands Preservation, Office of; powers and duties, small renewable energy projects fees.",H0247,Webert
HB1082,"Crimes by gangs; definition of ""predicate criminal act,"" penalties.",H0325,Walker
HB1083,Review of plats and plans by locality; designated agent.,H0247,Webert
HB1084,Adults charged with criminal offenses punishable by incarceration; Va. Longitudinal Data System.,H0366,Hernandez
HB1085,New Economy Workforce Credential Grant Program; eligible institutions.,H0247,Webert
HB1086,"Virginia Public Procurement Act; preference for Virginia goods, school nutrition programs, sunset.",H0371,Laufer
HB1087,High energy use facilities; natural gas fuel cell generating resources.,H0247,Webert
HB1088,"Assisted living facilities; involuntary discharge, notice.",H0325,Walker
HB1089,Va. Brownfield & Coal Mine Renewable Energy Grant Fund; increases kilowatt of nameplate capacity.,H0247,Webert
HB1090,Electric utilities; emissions intensity target program.,H0247,Webert
HB1091,Right to farm; solar panels.,H0371,Laufer
HB1092,"Protection of employees; standards for heat illness prevention, report.",H0366,Hernandez
HB1093,"Virginia Residential Landlord and Tenant Act; landlord remedies, attorney fees capped.",H0366,Hernandez
HB1094,Firearms; excise tax on manufacturers.,H0371,Laufer
HB1095,High school students; completion of certain applications for student financial aid required.,H0385,Singh
HB1096,Substantial Risk Order Reporting System; established.,H0385,Singh
HB1097,"Driver communication improvement program; drivers diagnosed with autism spectrum disorder, etc.",H0371,Laufer
HB1098,Participation in volunteer or public service organizations; uniform acceptance of credit earned.,H0385,Singh
HB1099,"Student-athlete name, image, and likeness deal transparency; best practices, report.",H0385,Singh
HB1100,Wage garnishments; treasurers' liens for unpaid taxes and charges.,H0366,Hernandez
HB1101,Local composite index school funding formula; data center revenue.,H0238,Hodges
HB1102,"Renewable energy portfolio standard program; energy from geothermal heating/cooling systems, report.",H0385,Singh
HB1103,"Medetomidine; manufacturing, selling, giving, distributing, or possessing, penalties.",H0238,Hodges
HB1104,Inspection of certified nursing facilities; compliance with federal reporting requirements.,H0238,Hodges
HB1105,Misdemeanor proceedings; competency treatment.,H0056,Kilgore
HB1106,"Electric utilities; renewable energy portfolio standard eligible sources, etc.",H0056,Kilgore
HB1107,"Virginia Retirement System; service retirement allowance, members who return to work.",H0056,Kilgore
HB1108,"Arts, Virginia Commission for the; revisions to duties of Commission.",H0056,Kilgore
HB1109,Managed care organizations & pharmacy benefits manager; data collection and reporting requirements.,H0238,Hodges
HB1110,Blue catfish; Marine Products Board shall establish Chesapeake Wild Harvest certification.,H0238,Hodges
HB1111,Civil litigation; suspension bonds and irrevocable letters of credit upon appeal.,H0366,Hernandez
HB1112,"Zoning; high-energy users, local authority.",H0385,Singh
HB1113,Culturally responsive & language-appropriate mental health support & services; guidance & policies.,H0397,Nivar
HB1114,Law-enforcement officers; paid military leaves of absence.,H0397,Nivar
HB1115,Nonemergency medical transportation providers; fee disclosure.,H0397,Nivar
HB1116,Publicly accessible nursing home info. portal; reporting of incident involving emerg. med. services.,H0397,Nivar
HB1117,"Professional and Occupational Regulation, Department of; universal license recognition.",H0397,Nivar
HB1118,One-stop small business permitting program; work group to determine methods to modernize.,H0397,Nivar
HB1119,"Guardianship; copy of appointment, termination, or modification order.",H0397,Nivar
HB1120,"Electric power-assisted bicycles, etc.; improving safety for operators and general public, report.",H0385,Singh
HB1121,Precious metals commodities and virtual currency; investment of public funds.,H0325,Walker
HB1122,Landowners; vested rights.,H0301,Reid
HB1123,"Income tax, state; credit for certain health care providers.",H0400,Thornton
HB1124,"Autonomous vehicles; work group to conduct an assessment of workforce impacts, etc.",H0336,Clark
HB1125,"Automated driving systems; requirements for operation, civil penalties, report.",H0301,Reid
HB1126,Native migratory fish; protection.,H0336,Clark
HB1127,Toll rate; increases State Corporation Commission duration and timeline for review.,H0301,Reid
HB1128,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.",H0301,Reid
HB1129,"Local motor vehicle license & registration; failure to pay certain taxes, fees, & parking citations.",H0325,Walker
HB1130,"Workforce housing for employees; county bd. of supervisor or school bd., lease of surplus property.",H0301,Reid
HB1131,Elections; identification containing a photograph required and excuse required to vote absentee.,H0364,Griffin
HB1132,Data center tax revenue; creates local residential renewable energy incentive program.,H0301,Reid
HB1133,Virginia Solar Energy and Battery Energy Storage Systems Program; established.,H0301,Reid
HB1134,"Potomac River Ferry Restoration of Service Working Group; resuming certain ferry service, report.",H0301,Reid
HB1135,"Income tax, state; tax credit for affordable housing projects.",H0262,Leftwich
HB1136,Centralized mobile food units; VDH to study to determine viability of establishing an office.,H0335,Cherry
HB1137,Renewal of licenses; persons serving in the armed services on active duty outside the Commonwealth.,H0335,Cherry
HB1138,Economic development incentives; wage requirements.,H0253,Austin
HB1139,"Medicine, Board of; membership, removal of residence requirements.",H0392,Downey
HB1140,Drug-related investigations; use of confidential informants.,H0335,Cherry
HB1141,Electric utilities; suspension of certain requirements.,H0364,Griffin
HB1142,"Deferred or installment payment agreements; outstanding court-assessed fines, fees, taxes, or costs.",H0335,Cherry
HB1143,Registration decals; discontinued.,H0253,Austin
HB1144,"Water and sewer connection fees; first-time homebuyers, affordable housing.",H0374,Martinez
HB1145,Motor vehicle safety inspections; certified safety inspectors.,H0253,Austin
HB1146,"Public elementary & secondary schools, etc. display of Ten Commandments in each classroom required.",H0364,Griffin
HB1147,"Medicine and Nursing, Boards of; continuing education, bias reduction training.",H0285,Hayes
HB1148,"Middle Peninsula Chesapeake Bay Pub. Access Authority; public purpose, submerged aquatic vegetation.",H0238,Hodges
HB1149,Water distribution systems; lead status inspections for water service lines.,H0238,Hodges
HB1150,"Impersonating any local, town, city, or county elected official; penalty.",H0238,Hodges
HB1151,"Electric utilities; duty to furnish adequate service, high-demand customers.",H0327,Willett
HB1152,Carbon market participation; coastal and marine resources.,H0238,Hodges
HB1153,"Community Builders Pilot Program; name change, statewide demonstration model site, repeals sunset.",H0266,Rasoul
HB1154,Chesapeake Bay Preservation Act; certain boundary line adjustments.,H0238,Hodges
HB1155,"Income tax, state and corporate; subtraction for broad band grant fund awards.",H0238,Hodges
HB1156,"Sales and use tax; additional local tax to support schools, referendum.",H0238,Hodges
HB1157,"Charitable gaming; denial, suspension, or revocation of permit.",H0281,Krizek
HB1158,"Career and technical education courses, pathways, and credentials; biennial review, report.",H0325,Walker
HB1159,Oral threat to kill or to do bodily harm; employees of local or state dept. of social serv. penalty.,H0335,Cherry
HB1160,"Dangerous dogs; deferred adjudication, waiver of appeal.",H0247,Webert
HB1161,Government. Data Collection & Dissemin. Practices Act; dissemin. of personal info. to federal gov't.,H0305,Tran
HB1162,State correctional facilities; required education or vocational training.,H0325,Walker
HB1163,"Subdivision ordinances; optional provisions, time-based restrictions.",H0247,Webert
HB1164,Prospective employer; prohibited from seeking wage or salary history of prospective employees.,H0389,"Cole, N.T."
HB1165,"Division superintendents; Board of Education to amend regulations, qualifications.",H0389,"Cole, N.T."
HB1166,"Financial institutions; check cashers, expiration of registration, delayed effective date.",H0388,Carroll
HB1167,Public school funding; composite index of local ability-to-pay; calculation.,H0388,Carroll
HB1168,Division superintendents; performance evaluations.,H0389,"Cole, N.T."
HB1169,"Small Farms, Office of, and Virginia Small Farms Fund; established and created, report.",H0389,"Cole, N.T."
HB1170,Law-enforcement agencies & sheriff's dept.; policy on use of covered artificial intelligence syst.,H0388,Carroll
HB1171,Standard Diploma; Board of Education shall develop alternative graduation pathways to earn.,H0266,Rasoul
HB1172,Pharmacy freedom of choice; specialty pharmacy benefits.,H0389,"Cole, N.T."
HB1173,Virginia Human Rights Act; reasonable accommodation for known limitations related to menopause.,H0305,Tran
HB1174,Children in foster care; supplemental clothing allowance rate increase.,H0388,Carroll
HB1175,Electric utilities; request for proposals required for certain facilities.,H0305,Tran
HB1176,"Regulatory boards, certain; quorum requirements.",H0389,"Cole, N.T."
HB1177,Local rent stabilization authority; civil penalty.,H0389,"Cole, N.T."
HB1178,"Authorized septic system inspectors; scope of services and requirements for performance, etc.",H0399,Pope Adams
HB1179,"Transportation; changes various provisions of existing funds, etc.",H0305,Tran
HB1180,"Income tax, state; free tax filing program for individuals.",H0399,Pope Adams
HB1181,"Alcoholic beverage control; expands definition of special events, mixed beverage caterer's licenses.",H0281,Krizek
HB1182,"Health insurance; coverage for contraceptive drugs & devices, including over-the-counter.",H0382,Thomas
HB1183,Comprehensive community colleges; machinery and equipment for courses and programs.,H0242,O'Quinn
HB1184,Electric utilities; retirement of certain electric generating units.,H0242,O'Quinn
HB1185,Campaign finance; campaign depositories.,H0242,O'Quinn
HB1186,Artificial intelligence; use of systems for student instruction.,H0266,Rasoul
HB1187,Localities; issuance of bonds for capital projects for school purposes.,H0242,O'Quinn
HB1188,"Virginia Boys and Men Advisory Commission; established, report, sunset provision.",H0382,Thomas
HB1189,"State of preparedness; feasibility & impact of program to prioritize prevention/mitigation, etc.",H0242,O'Quinn
HB1190,Public waterworks; appointments of receiver for waterworks.,H0342,"Scott, P.A."
HB1191,"Electric substation construction agreements; ""electric cooperatives"" or ""cooperative,"" definitions.",H0344,Shin
HB1192,"Virginia-Ireland Advisory Board; established, report.",H0242,O'Quinn
HB1193,"High school students; postsecondary opportunities, concurrent enrollment.",H0342,"Scott, P.A."
HB1194,Minor's health records; parental access.,H0342,"Scott, P.A."
HB1195,"School bds., etc.; applicants for employment involving direct contact w/children in public schools.",H0342,"Scott, P.A."
HB1196,"Property Owners' Association Act; operation and management of assoc., condemnation of common area.",H0342,"Scott, P.A."
HB1197,"Alcoholic beverage control; suspension or revocation of certain retail licenses, reinstatement.",H0342,"Scott, P.A."
HB1198,"Display of license plate; only rear plate required, exception.",H0342,"Scott, P.A."
HB1199,"Local license taxes; authority to exempt, businesses regulated by boards within DHP.",H0342,"Scott, P.A."
HB1200,"Guardrail posts; Department of Transportation to develop standards for protective caps, report.",H0348,Williams
HB1201,Certificate of public need; exception for independent outpatient or ambulatory surgery facilities.,H0342,"Scott, P.A."
HB1202,"Guardrail modernization; Department of Transportation to identify and conduct replacement, report.",H0348,Williams
HB1203,DMV; requires any person submitting form to provide proof of current address.,H0342,"Scott, P.A."
HB1204,Local government; appropriation of local school funds to families for compulsory student attendance.,H0342,"Scott, P.A."
HB1205,"Motor vehicles insurance; hwy. use fee, tangible personal property tax relief for certain vehicles.",H0377,Oates
HB1206,"State employees & public elementary & secondary school teachers; required annual trainings, report.",H0342,"Scott, P.A."
HB1207,"Paid family & med. leave insurance program; definitions, notice requirements, civil action, report.",H0343,Sewell
HB1208,"Public education; early childhood care and education, child care access calculations, report.",H0343,Sewell
HB1209,"Hospitals; itemized statements, non-emergent procedures, tests, or services.",H0377,Oates
HB1210,"Income tax, state; subtraction for long-term capital gains from sale of principal residence.",H0343,Sewell
HB1211,"Income tax, state; first-time homebuyer tax credit.",H0343,Sewell
HB1212,Zoning; small lot residential districts required.,H0343,Sewell
HB1213,"Elections; affirmation statement in lieu of identification, additional information required.",H0377,Oates
HB1214,"Health insurance; cost-sharing payments for insulin and diabetes equipment and supplies, limit.",H0294,Delaney
HB1215,"Admission of evidence; evidentiary hearing, excluded persons.",H0377,Oates
HB1216,Retaliatory action against employee prohibited; remedies available.,H0294,Delaney
HB1217,"Keeper of livery stable; liens, requirements.",H0377,Oates
HB1218,Summer camps; employment of children.,H0294,Delaney
HB1219,"Unmanned aircraft systems; use by law-enforcement officers, search warrants.",H0343,Sewell
HB1220,Photo speed monitoring devices; placement and operation.,H0294,Delaney
HB1221,"Higher ed. financial aid programs; amends provisions, Va. Commonwealth Award established, report.",H0343,Sewell
HB1222,"Social services, local departments of; child abuse and neglect, recorded interviews.",H0294,Delaney
HB1223,Health professionals; mandatory suicide training required.,H0294,Delaney
HB1224,"Driver's licenses; requirements for initial licensure, persons age 18 to 21.",H0294,Delaney
HB1225,"Transportation electrification; integrated resource planning, fast-charging stations, etc.",H0344,Shin
HB1226,"Motor Vehicles, Department of;  release of data to certain institutions of higher education, fee.",H0343,Sewell
HB1227,Private activity bonds; allocation of state ceiling.,H0382,Thomas
HB1228,Motor vehicle insurance; use of certain factors to establish rates prohibited.,H0242,O'Quinn
HB1229,"Public schools; use of seclusion and restraint, report.",H0342,"Scott, P.A."
HB1230,"Income tax, state; sustainable aviation fuel production tax credit.",H0343,Sewell
HB1231,Commonwealth Aviation Fund; changes allocation amounts.,H0294,Delaney
HB1232,"Black Land Loss, Commission on; established, report.",H0294,Delaney
HB1233,"Va. Sexual & Domestic Violence Victim fund; fee for offenses related to solicitation of minors, etc.",H0294,Delaney
HB1234,"Land development; definitions, solar canopies in surface parking areas, delayed effective date.",H0343,Sewell
HB1235,"Clerks of circuit court; fees, restitution, online payment systems, report.",H0294,Delaney
HB1236,"Historical African American cemeteries and graves; qualified organization, Fairfax burial grounds.",H0294,Delaney
HB1237,"Cemeteries; maintenance of abandoned or neglected graveyards, owner unknown.",H0343,Sewell
HB1238,"Local ordinances; locality may regulate or prohibit sale of animals in a pet shop, effective clause.",H0344,Shin
HB1239,"Va. Public Procurement Act; methods of procurement, competitive sealed bids negotiation exemption.",H0377,Oates
HB1240,"Medicaid; eligibility determination appeal time limit, mailed communications time period.",H0327,Willett
HB1241,"Hampton Roads Infrastructure Coordination and Readiness Framework; HRTPO to develop, report.",H0353,Anthony
HB1242,"K-12 schools and institutions of higher education; student participation in women's sports, etc.",H0377,Oates
HB1243,"Standards of Quality; state accountability, Standards of Learning assessment expedited retake score.",H0242,O'Quinn
HB1244,Absentee voting; emergency application for absentee ballot.,H0353,Anthony
HB1245,Virginia Health Care Fund; additional funding and uses.,H0365,Henson
HB1246,"State correctional facilities; visitation privileges, Visitation Enhancement Program established.",H0349,Glass
HB1247,Esthetics Licensure Compact; authorizes Virginia to become a signatory to Compact.,H0349,Glass
HB1248,Virginia Creative Economy Grant Program; established.,H0349,Glass
HB1249,"Creative Economy Task Force; established, strategic plan, report, sunset.",H0349,Glass
HB1250,"Technology Governance and Coordination Program; established, report, sunset.",H0353,Anthony
HB1251,"Digital Right to Repair Act; access to diagnostics, tools, service documentation, and firmware.",H0349,Glass
HB1252,Virginia Residential Landlord and Tenant Act; algorithmic pricing device use by certain landlords.,H0353,Anthony
HB1253,Property insurance; use of aerial or satellite imagery.,H0349,Glass
HB1254,"Professional & Occupational Regulation, Department of; amendments for purposes of regulatory boards.",H0349,Glass
HB1255,"Net energy metering; standby charge, facility capacity.",H0344,Shin
HB1256,"Electric utilities, certain; purchased power cost risk mitigation practices.",H0344,Shin
HB1257,Law-enforcement agencies; use of certain technologies & interrogation practices; forensic lab.,H0349,Glass
HB1258,"Pass-through limitation tax credit; report, penalty.",H0342,"Scott, P.A."
HB1259,Virginia Residential Landlord and Tenant Act; mold remediation.,H0231,Wilt
HB1260,"Publ. elementary/secondary schools, etc.; fed. immigration investigation and enforcement activities.",H0344,Shin
HB1261,Law-enforcement agencies; use of certain technology & interrogation practices; forensic laboratory.,H0349,Glass
HB1262,"Notaries; prohibition on certain advertising, investigation by Attorney General.",H0349,Glass
HB1263,"Public employees; repeals existing prohibition on collective bargaining, etc.",H0305,Tran
HB1264,Virginia Accountability Commission; established.,H0344,Shin
HB1265,"Courthouses; certain civil arrests prohibited, definition, penalty.",H0349,Glass
