Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
SJ252,Virginia State Route 55; Department of Transportation to study traffic congestion reduction.,Transportation,Derived from LIS bill description,,
SB919,Private companies providing public transportation services; employee protections.,Transportation,Derived from LIS bill description,,
SB847,Reckless driving; improper driving as a lesser included offense.,Transportation,Derived from LIS bill description,,
SB858,"License plates, special; issuance for supporters of the Shenandoah Apple Blossom Festival.",Transportation,Derived from LIS bill description,,
HJ457,"Constitutional amendment; tax exemption for motor vehicles owned for personal, noncommercial use.",Transportation,Derived from LIS bill description,,
SR220,Commending Hampton Roads Transit.,Transportation,Derived from LIS bill description,,
HB2512,"DCR, et al., to convene work group to examine use.",Agriculture and Food,Derived from LIS bill summary,,
SB1151,"Pasture, Rangeland, and Forage Insurance Premium Assistance Program and Fund; established, sunset.",Agriculture and Food,Derived from LIS bill summary,,
HB2497,"Electric vehicle battery suppliers; certification, penalty.",Agriculture and Food,Derived from LIS bill summary,,
SB1241,Charitable gaming; certain common interest communities to conduct bingo.,Agriculture and Food,Derived from LIS bill summary,,
HB2449,Real property tax; special assessment for land preservation.,Agriculture and Food,Derived from LIS bill summary,,
SB1114,Solar facilities; special exceptions for solar photovoltaic projects.,Agriculture and Food,Derived from LIS bill summary,,
HB1941,"Invasive plant species; retail sales, penalty, delayed effective date January 1, 2027.",Agriculture and Food,Derived from LIS bill summary,,
HB2303,"Large animal veterinary grant program; State Veterinarian to establish, report.",Agriculture and Food,Derived from LIS bill summary,,
HB1798,"Agricultural commodity boards; Agricultural Council, appointment and membership terms.",Agriculture and Food,Derived from LIS bill summary,,
HB2458,Vehicles used for agricultural purposes; reflectors/reflectorized material on rear end of trailers.,Agriculture and Food,Derived from LIS bill summary,,
SB1060,"Tobacco products retailers; possession and sale of products, etc.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
SB1297,ABC Board; primary law-enforcement agency for certain crimes against property and involving fraud.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1655,"Alcoholic beverage control; limitation on manufacturers, etc., restrictions on employment.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
SB1322,"Virginia Gaming Commerce Regulation Act; established, penalties distribution of funds, report.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB2033,Alcoholic beverage control retail licensees and employees; training on human trafficking.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB2589,Human trafficking; nonprofit organizations supplying informational materials to state entities.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1925,Virginia Alcoholic Beverage Control Authority; police power; primary law-enforcement agency for certain larceny-related offenses.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1703,Alcoholic beverage control; tied house exceptions.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
SB1323,"Virginia Gaming Commerce Regulation Act; established, penalties, report.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1994,Alcoholic beverage control; requirements for restaurant retail licensees.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB2404,Real property tax; certain driveways owned by disabled veterans and surviving spouses exempted.,Armed Forces,Derived from LIS bill summary,,
HB2707,"Income tax, state; toll charges for disabled veterans tax credit.",Armed Forces,Derived from LIS bill summary,,
HB1595,Virginia National Guard State Tuition Assistance Program; changes to eligibility criteria.,Armed Forces,Derived from LIS bill summary,,
SB1106,Virginia National Guard State Tuition Assistance Program; changes to eligibility criteria.,Armed Forces,Derived from LIS bill summary,,
HB1922,"Small SWaM Business Procurement Enhancement Program; established, report.",Armed Forces,Derived from LIS bill summary,,
HB2193,Virginia National Guard; deployment to active duty combat.,Armed Forces,Derived from LIS bill summary,,
HB1752,Institutions of higher education; financial assistance; tuition grants; Virginia National Guard.,Armed Forces,Derived from LIS bill summary,,
HB1737,Department of Veterans Services; powers and duties of Commissioner; online portal.,Armed Forces,Derived from LIS bill summary,,
SB1471,"Veterans Services, Department of; powers and duties of Commissioner, online portal.",Armed Forces,Derived from LIS bill summary,,
HB1882,Protective orders; military protective orders.,Armed Forces,Derived from LIS bill summary,,
HB2637,"Mental health first aid training program; Department of Education, et. al., to develop.",Behavioral Health,Derived from LIS bill summary,,
HB1954,Public school funding and staffing; special education students; support services positions.,Behavioral Health,Derived from LIS bill summary,,
HB1738,Veterans or military service members; deaths by suicide.,Behavioral Health,Derived from LIS bill summary,,
HB1893,State plan for medical assistance services; recovery residences; work group; report.,Behavioral Health,Derived from LIS bill summary,,
SB1013,"Neurocognitive disorder, etc.; affirmative defense to prosecution.",Behavioral Health,Derived from LIS bill summary,,
HB2719,Firearm; adding court ordered outpatient mental health treatment as prohibition to ownership.,Behavioral Health,Derived from LIS bill summary,,
SB1370,Model memorandum of understanding; counseling from school counselors by way of telehealth.,Behavioral Health,Derived from LIS bill summary,,
HB1760,"Mental health for children 5 yrs. of age or younger; DBHDS, et al., to develop screening, etc.",Behavioral Health,Derived from LIS bill summary,,
SB1386,"Emergency Management, Department of; powers & duties, development & implementation of guidelines.",Behavioral Health,Derived from LIS bill summary,,
HB1902,Board of Health; Department of Health Professions; Prescription Monitoring Program; overdose information.,Behavioral Health,Derived from LIS bill summary,,
HB2504,"Emergency Vehicles & Housing for Emergency Services Volunteers Grant Programs; established, reports.",Budget and Appropriations,Derived from LIS bill summary,,
HB1820,Public safety communications; evaluation of need for infrastructure updates & hardware replacements.,Budget and Appropriations,Derived from LIS bill summary,,
HB1613,Virginia Military Survivors and Dependents Education Program; annual report on eligibility and usage required.,Budget and Appropriations,Derived from LIS bill summary,,
HB1739,General Assembly Military and Veterans Commission established.,Budget and Appropriations,Derived from LIS bill summary,,
HB2656,Federal park operations; temporary funding.,Budget and Appropriations,Derived from LIS bill summary,,
HB2567,"Income tax, state; subtraction for military, benefits received by members of uniformed services.",Budget and Appropriations,Derived from LIS bill summary,,
SB1288,Highway maintenance; Town of New Market.,Budget and Appropriations,Derived from LIS bill summary,,
HB1694,Virginia Military Survivors and Dependents Education Program; annual report on eligibility and usage required.,Budget and Appropriations,Derived from LIS bill summary,,
SB1474,Filing of six-year financial outline; alternative recession estimates.,Budget and Appropriations,Derived from LIS bill summary,,
HB1760,"Mental health for children 5 yrs. of age or younger; DBHDS, et al., to develop screening, etc.",Budget and Appropriations,Derived from LIS bill summary,,
SB1323,"Virginia Gaming Commerce Regulation Act; established, penalties, report.",Business and Commerce,Derived from LIS bill summary,,
SB1259,VCU Health System Authority; changes relating to board of directors and chief executive officer.,Business and Commerce,Derived from LIS bill summary,,
SB1214,"High-risk artificial intelligence; development, deployment, and use by public bodies, report.",Business and Commerce,Derived from LIS bill summary,,
SB1467,Commonwealth Aviation Fund; changes allocation amounts.,Business and Commerce,Derived from LIS bill summary,,
HB2281,Electric utilities; municipal and state power aggregation.,Business and Commerce,Derived from LIS bill summary,,
SB1322,"Virginia Gaming Commerce Regulation Act; established, penalties distribution of funds, report.",Business and Commerce,Derived from LIS bill summary,,
SB1168,Health insurance; coverage for acupuncture treatments.,Business and Commerce,Derived from LIS bill summary,,
HB2483,"Digital Right to Repair Act; access to diagnostics, tools, service documentation, and firmware; penalties; civil action.",Business and Commerce,Derived from LIS bill summary,,
HB1556,Authority of Attorney General; criminal cases; criminal sexual assault and commercial sex trafficking committed against children.,Business and Commerce,Derived from LIS bill summary,,
HB1771,"Employee Child Care Assistance Pilot Program; established, report.",Business and Commerce,Derived from LIS bill summary,,
HB1796,Corporations; creates a regulatory framework for decentralized autonomous organizations.,Courts and Civil Law,Derived from LIS bill summary,,
HB2227,Human trafficking; issuance of writ of vacatur for victims.,Courts and Civil Law,Derived from LIS bill summary,,
HB2242,"Probationer; parolee, or felon serving period of postrelease supervision without warrant; arrest.",Courts and Civil Law,Derived from LIS bill summary,,
SB1036,"Seizure rescue meds.; administration by certain school employees, possession by certain students.",Courts and Civil Law,Derived from LIS bill summary,,
HB1665,"Fines, restitution, forfeiture, penalties, other costs; criminal and traffic cases; itemized statement.",Courts and Civil Law,Derived from LIS bill summary,,
HB2124,"Synthetic digital content; definition, penalty, report, effective clause.",Courts and Civil Law,Derived from LIS bill summary,,
HB2427,"Electronic tracking device; unauthorized use, penalties.",Courts and Civil Law,Derived from LIS bill summary,,
SB1155,"Postrelease supervision; revocation of parole, supervision of certain felons, etc.",Courts and Civil Law,Derived from LIS bill summary,,
HB1919,"Workplace violence policy; required for certain employers, civil penalty.",Courts and Civil Law,Derived from LIS bill summary,,
HB2316,Protective orders; dissolution of existing order.,Courts and Civil Law,Derived from LIS bill summary,,
HB2044,Teachers; employment and licensure; locally awarded subject matter expert teaching credentials.,Criminal Justice,Derived from LIS bill summary,,
SB1068,Admission to bail; creates rebuttable presumptions against bail.,Criminal Justice,Derived from LIS bill summary,,
HB2176,"Marijuana-related offenses; modification of sentence, sunset.",Criminal Justice,Derived from LIS bill summary,,
SB1362,"Real estate brokers, etc.; criminal history information check.",Criminal Justice,Derived from LIS bill summary,,
HB2290,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",Criminal Justice,Derived from LIS bill summary,,
HB2317,"Marijuana, etc.; possession, smoking by person younger than 21 years of age prohibited.",Criminal Justice,Derived from LIS bill summary,,
HB2299,"Computer trespass; Class 6 felony when committed against elementary and secondary schools, etc.",Criminal Justice,Derived from LIS bill summary,,
HB2726,Magistrates; power to issue arrest warrants.,Criminal Justice,Derived from LIS bill summary,,
HB1627,"Criminal history; failure to provide discovery, dissemination of record information.",Criminal Justice,Derived from LIS bill summary,,
SB1405,Evaluation and determination of competency; raising question of competency to stand trial or plead.,Criminal Justice,Derived from LIS bill summary,,
HB1601,Siting of data centers; site assessment; high energy use facility.,Data Centers,Derived from LIS bill summary,,
SB1358,Underground transmission lines; qualifying projects.,Data Centers,Derived from LIS bill summary,,
SB1196,Retail Sales and Use Tax; exemption data centers.,Data Centers,Derived from LIS bill summary,,
HB1984,"Data centers; sitings near parks, schools, and residential areas.",Data Centers,Derived from LIS bill summary,,
HB2578,"Retail Sales and Use Tax; exemption for data centers, reports.",Data Centers,Derived from LIS bill summary,,
HB2377,Comprehensive plan; data centers; water usage.,Data Centers,Derived from LIS bill summary,,
HB2712,Data centers; local authority considering any land use application.,Data Centers,Derived from LIS bill summary,,
HB2028,School boards; entitlement to one-time fee from certain data centers.,Data Centers,Derived from LIS bill summary,,
SB1425,"Retail Sales and Use Tax; data center exemption expiration, distribution of revenues.",Data Centers,Derived from LIS bill summary,,
SB1243,Electric utilities; electric distribution infrastructure serving data centers.,Data Centers,Derived from LIS bill summary,,
HB1567,Virginia Economic Development Partnership Authority; operational plan submission.,Economic Development,Derived from LIS bill summary,,
HB2715,Retail sales and use tax; exemption for data centers definitions.,Economic Development,Derived from LIS bill summary,,
HB2163,"Enterprise zone grant program; real property investment grants, report.",Economic Development,Derived from LIS bill summary,,
HB1579,License taxes; local gas road improvement and Virginia Coalfield Economic Development Authority tax; sunset.,Economic Development,Derived from LIS bill summary,,
SB1139,"Virginia Workforce Housing Assistance Program; established, report.",Economic Development,Derived from LIS bill summary,,
HB2012,Film industry community zones; local designation.,Economic Development,Derived from LIS bill summary,,
SB1358,Underground transmission lines; qualifying projects.,Economic Development,Derived from LIS bill summary,,
HB2540,"Lithium-ion Battery Separator Manufacturing Grant Fund; created, definitions.",Economic Development,Derived from LIS bill summary,,
HB1842,Industrial development authorities; Town of Front Royal.,Economic Development,Derived from LIS bill summary,,
HB1901,"Virginia Sports Tourism Grant Program; established, report.",Economic Development,Derived from LIS bill summary,,
HB1970,Tax exempt property; nonprofit institutions of learning.,Education,Derived from LIS bill summary,,
SB1273,Subsidized Work Experience Program; established.,Education,Derived from LIS bill summary,,
HB1723,"Assistance w/food access, etc.; methods to improve participation in fed. public assistance programs.",Education,Derived from LIS bill summary,,
SB1142,"Line of Duty Act; benefits for campus police and private police officers, definitions.",Education,Derived from LIS bill summary,,
HB1621,"Public institutions of higher education; governing boards; nonvoting, advisory representatives.",Education,Derived from LIS bill summary,,
HB2098,"Labor & employment provisions; application of law, protection of employees, definition of employer.",Education,Derived from LIS bill summary,,
HB2517,"Sewage sludge; land application, permit exemptions, sunset.",Education,Derived from LIS bill summary,,
HB2583,"School bathroom safety checks; Bd. of Education to develop, etc., to each school board model policy.",Education,Derived from LIS bill summary,,
HB1918,"Women's Menstrual Health Program; established, information collection,etc.",Education,Derived from LIS bill summary,,
HB2190,"Public schools; catalog of print or digital materials available in school libraries, etc.",Education,Derived from LIS bill summary,,
SB1175,"Elections; absentee voting in person, uniform availability.",Elections and Voting,Derived from LIS bill summary,,
HB1566,Elections; absentee ballot security measures; watermark.,Elections and Voting,Derived from LIS bill summary,,
HB2672,"Elections; electoral board appointments, up to five party recommendations.",Elections and Voting,Derived from LIS bill summary,,
HB1969,"Taxation; extension of expiring sunsets, etc.",Elections and Voting,Derived from LIS bill summary,,
HB1744,Candidates for office; persons entitled to have name printed on ballot; required campaign finance reports.,Elections and Voting,Derived from LIS bill summary,,
SB1073,"Voter registration; verification of social security numbers, provisional registration status.",Elections and Voting,Derived from LIS bill summary,,
HB1691,Study; JLARC to study Virginia's campaign finance system; independent agency; report.,Elections and Voting,Derived from LIS bill summary,,
HB1884,Protection of memorials for war veterans.,Elections and Voting,Derived from LIS bill summary,,
HB1576,Campaign fundraising; legislative sessions; enforcement of civil penalty.,Elections and Voting,Derived from LIS bill summary,,
SB1009,"Elections; conduct of election, ranked choice voting, locally elected offices, report.",Elections and Voting,Derived from LIS bill summary,,
SB1077,"Electric utilities; regulation, development of renewable energy facilities.",Energy and Utilities,Derived from LIS bill summary,,
HB1779,Carbon-free energy or clean energy; definition of fusion energy.,Energy and Utilities,Derived from LIS bill summary,,
HB2386,Public utilities; certificate of convenience and necessity for certain new transmission lines.,Energy and Utilities,Derived from LIS bill summary,,
HB2744,"Electric utilities; energy efficiency upgrades, report.",Energy and Utilities,Derived from LIS bill summary,,
HB1883,Electric utilities; renewable energy portfolio standard program requirements.,Energy and Utilities,Derived from LIS bill summary,,
HB2437,Utility Facilities Act; definition of public utility.,Energy and Utilities,Derived from LIS bill summary,,
HB2755,Underground transmission lines; qualifying projects.,Energy and Utilities,Derived from LIS bill summary,,
HB2693,"Electric utilities; regulation, development of renewable energy facilities.",Energy and Utilities,Derived from LIS bill summary,,
HB2442,Public utilities; certificate of convenience and necessity.,Energy and Utilities,Derived from LIS bill summary,,
HB1934,Electric utilities; generation of electricity from renewable and zero carbon sources.,Energy and Utilities,Derived from LIS bill summary,,
SB1125,Propagation of mammalian wildlife; unlawful without a permit premature separation.,Environment and Conservation,Derived from LIS bill summary,,
HB2061,"Cumberland State Forest; boundary line agreement and quitclaim of interest, etc.",Environment and Conservation,Derived from LIS bill summary,,
SB1190,Va. Energy Facility Review Board & Virginia Clean Energy Technical Assistance Center; established.,Environment and Conservation,Derived from LIS bill summary,,
SB1198,Virginia Land Conservation Fund; land conservation goals and needs assessment.,Environment and Conservation,Derived from LIS bill summary,,
HB1592,State Police Officers' Retirement System; membership for Department of Wildlife Resources conservation police officers.,Environment and Conservation,Derived from LIS bill summary,,
HB2178,"Discharging preproduction plastic; regulation, requirements.",Environment and Conservation,Derived from LIS bill summary,,
HB2407,"Waterworks; mandatory reporting of anomalies, negligence.",Environment and Conservation,Derived from LIS bill summary,,
HB2461,Disaster Assistance Fund; established.,Environment and Conservation,Derived from LIS bill summary,,
HB1969,"Taxation; extension of expiring sunsets, etc.",Environment and Conservation,Derived from LIS bill summary,,
HB2512,"DCR, et al., to convene work group to examine use.",Environment and Conservation,Derived from LIS bill summary,,
HB2287,Guidelines and policies on school-connected overdose; response and parental notification.,Family and Children,Derived from LIS bill summary,,
HB2777,"Public schools; definitions, textbooks and other high-quality instructional materials.",Family and Children,Derived from LIS bill summary,,
HB1590,Virginia Freedom of Information Act; exclusions; apprenticeship programs; minors.,Family and Children,Derived from LIS bill summary,,
HB2182,"Sage's Law; minor students experiencing gender incongruence, etc.",Family and Children,Derived from LIS bill summary,,
HB1852,"Definition of ""family or household member.""",Family and Children,Derived from LIS bill summary,,
SB1461,Rapid whole genome sequencing; state plan for medical assistance services.,Family and Children,Derived from LIS bill summary,,
HB2399,Minors; parental access to health records.,Family and Children,Derived from LIS bill summary,,
HB1644,"Wills, trusts, and fiduciaries; Consumer Price Index adjustments.",Family and Children,Derived from LIS bill summary,,
SB1019,WIC applications; DH to provide information to food banks regarding providing assistance.,Family and Children,Derived from LIS bill summary,,
HB2457,"Foster care; State Bd. of Social Services to amend regulations, application for and use of benefits.",Family and Children,Derived from LIS bill summary,,
HB2073,"Financial institutions; discrimination prohibited, penalty.",Financial Institutions and Services,Derived from LIS bill summary,,
SB1453,"Financial institutions; discrimination prohibited, penalty.",Financial Institutions and Services,Derived from LIS bill summary,,
SB1252,Financial institutions; loans and legal rate of interest.,Financial Institutions and Services,Derived from LIS bill summary,,
HB1942,"Financial institutions; regulation of money transmitters, penalty, effective date.",Financial Institutions and Services,Derived from LIS bill summary,,
SB1276,"Labor and employment; portable benefit accounts, income tax, deduction.",Financial Institutions and Services,Derived from LIS bill summary,,
HB2015,Firearms-related offenses; mandatory minimum sentence; penalty.,Firearms,Derived from LIS bill summary,,
SB1368,SW Va. Higher Ed. Ctr. Bd. of Trustees; authority to permit campus officers to carry firearms.,Firearms,Derived from LIS bill summary,,
SB1329,"Carrying concealed weapons; exception, penalty.",Firearms,Derived from LIS bill summary,,
HB1780,"Relief; Merritt, Gilbert, III, compensation for wrongful incarceration.",Firearms,Derived from LIS bill summary,,
SB1181,"Assault firearms and certain ammunition feeding devices; prohibits sale, transfer, etc.",Firearms,Derived from LIS bill summary,,
HB1607,"Purchase, sale, transfer, etc., of assault firearms and certain ammunition feeding devices prohibited; penalties.",Firearms,Derived from LIS bill summary,,
HB1960,Firearm transfers to another person from a prohibited person.,Firearms,Derived from LIS bill summary,,
SB1446,Human smuggling; penalties.,Firearms,Derived from LIS bill summary,,
HB1583,Threats to discharge a firearm within or at buildings or means of transportation; penalties.,Firearms,Derived from LIS bill summary,,
HB2586,Voter registration; automatic registration upon application for hunting and fishing license.,Firearms,Derived from LIS bill summary,,
SB1223,"Historical horse racing; pari-mutuel wagering, certain localities.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
SB1280,Gaming; posting of problem gambling helpline information.,"Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB1742,"Pari-mutuel wagering; historical horse racing, percentage retained for distribution.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
SB1315,Horse racing and pari-mutuel wagering; percentage retained by racetrack and locality.,"Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB2171,"Virginia Lottery; Internet gaming authorized, penalties.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB2651,Charitable gaming; definition of poker events.,"Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB2078,Charitable gaming; certain common interest communities qualified to conduct bingo.,"Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB1920,Charitable gaming; remuneration for bingo callers and bingo managers.,"Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
SB1322,"Virginia Gaming Commerce Regulation Act; established, penalties distribution of funds, report.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB2167,Charitable gaming; conduct of athletic event drawings.,"Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB1635,Certified nurse midwives; licensed certified midwives; independent practice; organized medical staff.,Health and Healthcare,Derived from LIS bill summary,,
SB1383,"Nursing homes; establishes procedures for implementation of sanctions, civil penalty.",Health and Healthcare,Derived from LIS bill summary,,
HB2082,Department of Medical Assistance Services; appeals of agency determinations.,Health and Healthcare,Derived from LIS bill summary,,
SB1354,Medicaid billing navigator positions; established.,Health and Healthcare,Derived from LIS bill summary,,
HB2534,Nonhospitalized individuals; crisis stabilization services.,Health and Healthcare,Derived from LIS bill summary,,
HB2494,Emergency Response Exposure Grant Fund and Program; created.,Health and Healthcare,Derived from LIS bill summary,,
HB1675,Board of Medicine; continuing education; unconscious bias and cultural competency.,Health and Healthcare,Derived from LIS bill summary,,
HB2252,"Decreasing probation period; criteria for mandatory reduction, effective date.",Health and Healthcare,Derived from LIS bill summary,,
HB2117,Experiencing or reporting an overdose or act of sexual violence; arrest and prosecution.,Health and Healthcare,Derived from LIS bill summary,,
SB1037,"School boards; school-based telehealth and mental health teletherapy services, accessibility.",Health and Healthcare,Derived from LIS bill summary,,
HB2421,Intercollegiate athletics programs; certain intrastate competition required.,Higher Education,Derived from LIS bill summary,,
HB1595,Virginia National Guard State Tuition Assistance Program; changes to eligibility criteria.,Higher Education,Derived from LIS bill summary,,
HB2431,Attorneys; preliminary proof of education required of applicant for Virginia Bar examination.,Higher Education,Derived from LIS bill summary,,
HB1892,Children with disabilities; annual individualized education program planning process; dual enrollment courses; certain parental notification required.,Higher Education,Derived from LIS bill summary,,
HB1876,"Capitol Sq. or building owned/leased by the Commonwealth, carrying firearm/explosive material, etc.",Higher Education,Derived from LIS bill summary,,
SB1491,School crossing zones; institutions of higher education.,Higher Education,Derived from LIS bill summary,,
HB2291,Public schools; textbooks and other high-quality instructional materials.,Higher Education,Derived from LIS bill summary,,
HB1674,Professional education programs; exemption for programs leading to certain endorsements.,Higher Education,Derived from LIS bill summary,,
HB2734,"Higher educational institutions, public; information for pregnant and parenting students.",Higher Education,Derived from LIS bill summary,,
SB1247,"Higher educational institutions, public; grants with foreign countries of concern prohibited, etc.",Higher Education,Derived from LIS bill summary,,
HB1998,Sexual extortion; penalty.,Housing,Derived from LIS bill summary,,
SB1136,Local anti-rent gouging authority; civil penalty.,Housing,Derived from LIS bill summary,,
SB1313,"Affordable housing; local zoning ordinance authority, comprehensive plan.",Housing,Derived from LIS bill summary,,
HB1867,"Va. Residential Landlord and Tenant Act; terms and conditions of rental agreement, renewal notice.",Housing,Derived from LIS bill summary,,
SB1178,Faith and housing; affordable housing on property owned by religious or tax-exempt organizations,Housing,Derived from LIS bill summary,,
HB1706,Va. Residential Property Disclosure Act; required disclosures for buyer to beware.,Housing,Derived from LIS bill summary,,
HB1969,"Taxation; extension of expiring sunsets, etc.",Housing,Derived from LIS bill summary,,
SB1400,Va. Residential Landlord & Tenant Act; algorithmic device services or products prohibited.,Housing,Derived from LIS bill summary,,
HB1684,"Real estate brokers and salespersons; duties, licensees engaged by buyers.",Housing,Derived from LIS bill summary,,
HB2415,"Public housing authorities; indigent parties, unlawful detainer.",Housing,Derived from LIS bill summary,,
HB2077,"Virginia Community Flood Preparedness Fund; loan and grant program, eligible recipients.",Indian Tribes,Derived from LIS bill summary,,
SB1335,"Virginia Community Flood Preparedness Fund; loan and grant program, eligible recipients.",Indian Tribes,Derived from LIS bill summary,,
HB2134,"American Indians, Va. recognized tribes, and federally recognized tribes; definitions, sovereignty.",Indian Tribes,Derived from LIS bill summary,,
HB1950,Living Shoreline Grant Fund; established.,Indian Tribes,Derived from LIS bill summary,,
HB2453,Living Shoreline Grant Fund; established.,Indian Tribes,Derived from LIS bill summary,,
HB2525,"Health insurance; electronic prior authorization, report.",Insurance,Derived from LIS bill summary,,
HB1670,Health insurance; cost-sharing for epinephrine injectors.,Insurance,Derived from LIS bill summary,,
HB2611,"Health insurance; coverage for cancer follow-up testing, report.",Insurance,Derived from LIS bill summary,,
HB1923,"Health insurance; reimbursement for services rendered by certain practitioners, etc.",Insurance,Derived from LIS bill summary,,
HB2100,"Medicare supplement policies; annual open enrollment period, individual Medicare policies, etc.",Insurance,Derived from LIS bill summary,,
SB1285,"Professional & Occupational Reg., Dept. of; deregulation of residential building energy analysts.",Insurance,Derived from LIS bill summary,,
SB1159,"Motor vehicle insurance; underinsured motorist coverage, revises language of required notice.",Insurance,Derived from LIS bill summary,,
HB2329,Health insurance; prescription drug formularies.,Insurance,Derived from LIS bill summary,,
SB1168,Health insurance; coverage for acupuncture treatments.,Insurance,Derived from LIS bill summary,,
HB1904,"Certified nurse midwives, licensed certified midwives, etc.; coverage for nursery services.",Insurance,Derived from LIS bill summary,,
HB1812,Virginia Retirement System; enhanced retirement benefits for animal control officers.,Labor and Employment,Derived from LIS bill summary,,
SB1200,"Victims of crime; compensation, extends time for filing a claim.",Labor and Employment,Derived from LIS bill summary,,
HB2262,"Income tax, state; establishes organ donation leave tax credit.",Labor and Employment,Derived from LIS bill summary,,
SB1401,Firefighters and emergency medical services providers; collective bargaining.,Labor and Employment,Derived from LIS bill summary,,
HB2063,School employees; reports of certain arrests and convictions.,Labor and Employment,Derived from LIS bill summary,,
SB1074,"Youth Health Protection Act; established, civil penalty.",Labor and Employment,Derived from LIS bill summary,,
HB1928,Minimum wage.,Labor and Employment,Derived from LIS bill summary,,
SB1259,VCU Health System Authority; changes relating to board of directors and chief executive officer.,Labor and Employment,Derived from LIS bill summary,,
HB1625,Minimum wage; farm laborers or farm employees; temporary foreign workers.,Labor and Employment,Derived from LIS bill summary,,
SB1384,"Childbirth; postpartum process, definitions.",Labor and Employment,Derived from LIS bill summary,,
HB1659,Local Foundation and Soil Management Fund.,Local Government,Derived from LIS bill summary,,
SB1231,Virginia Investment Performance Grants; awarding of Grants.,Local Government,Derived from LIS bill summary,,
HB2537,"Energy storage requirements; Department of Energy, et al., to develop model ordinances, reports.",Local Government,Derived from LIS bill summary,,
SB1357,"Conflict of Interests Act, State and Local Government, etc.; personal interest in a transaction.",Local Government,Derived from LIS bill summary,,
HB2745,Vacant and blighted or derelict property; locality allowed to sell.,Local Government,Derived from LIS bill summary,,
SB1429,War veterans; protection for memorials.,Local Government,Derived from LIS bill summary,,
SB1223,"Historical horse racing; pari-mutuel wagering, certain localities.",Local Government,Derived from LIS bill summary,,
HB2172,Local fiscal distress; apptmnt. of an emergency fiscal manager for certain localities in PD 19.,Local Government,Derived from LIS bill summary,,
SB1191,"Adults charged w/criminal offense punishable by confinement in jail, etc. collecting/reporting data.",Local Government,Derived from LIS bill summary,,
SB1183,Virginia Access to Justice Act; establishes a public defender office in each judicial circuit.,Local Government,Derived from LIS bill summary,,
HB2563,"Assisted conception; certain medical treatments, written contract required.",Marriage and Domestic Relations,Derived from LIS bill summary,,
SB1327,Judges; maximum number in each judicial district.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB2530,"Restraints on juveniles; use in court prohibited, exceptions.",Marriage and Domestic Relations,Derived from LIS bill summary,,
SB1334,"Juvenile and domestic relations district court; preliminary hearing, violent juvenile felony.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB2505,"Termination of parental rights; abused, etc., children or children without parental care, appeals.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB2736,Virginia Values Veterans Program; military spouse eligibility.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB2002,"Voter registration; cancellation of registration, sources of data.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB2289,Zoning; recovery residences.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1739,General Assembly Military and Veterans Commission established.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB2519,"Income tax, state; deductions for in vitro fertilization.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1830,School board policies; unpaid educational leave for certain employee association officers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB2581,"VRS; enhanced retirement benefits for 911 dispatchers, animal control officers, etc.","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1563,Virginia Law Officers' Retirement System; emergency dispatchers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
SB1292,"Virginia Retirement System; return to work, sunset date.","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB2194,Juvenile detention specialists; enhanced retirement benefits.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
