Bill_id,Bill_description,Patron_id,Patron_name
HB9,Animal control officers; additional training.,H0359,Ennis
HB1820,Public safety communications; evaluation of need for infrastructure updates & hardware replacements.,H0301,Reid
HB1821,"Electric utilities; accelerated renewable energy buyers, zero-carbon electricity.",H0301,Reid
HB1822,"Electric utilities; construction of certain electrical transmission lines, advanced conductors.",H0301,Reid
HB1823,"Lynching Sites Memorialization, Virginia Commission on; established, report, sunset.",H0301,Reid
HB1824,High school graduation requirements; history and social studies credits.,H0301,Reid
HB1825,Virginia Law Officers' Retirement System; extends membership to conservation officers.,H0073,Orrock
HB1826,"Vacant building registration; increases fee, civil penalty.",H0323,Simonds
HB1827,Comprehensive plan; social determinants of health.,H0323,Simonds
HB1828,Health insurance; cost sharing for breast examinations.,H0323,Simonds
HB1829,Mathematics teachers; BOE shall take certain regulatory actions relating to add-on endorsements.,H0323,Simonds
HB1830,School board policies; unpaid educational leave for certain employee association officers.,H0323,Simonds
HB1831,"Public schools; certain calculations in Standards of Quality, support services.",H0323,Simonds
HB1832,Zoning; development and use of accessory dwelling units.,H0323,Simonds
HB1833,"Small Family Day Home Provider Incentive Pilot Program; established, sunset.",H0323,Simonds
HB1834,Virginia Waterway Maintenance Grant Program and Fund; administration by  Marine Resource Commission.,H0267,Bloxom
HB1835,"Geologists; regulation, licensure, penalty.",H0329,Wiley
HB1836,"Driver training schools; definitions, operation and licensure.",H0329,Wiley
HB1837,Dealers in agricultural produce.,H0267,Bloxom
HB1838,"General Assembly Conflicts of Interests Act; definition of ""gift.""",H0267,Bloxom
HB1839,"Admission of evidence; evidentiary hearing, excluded persons.",H0377,Oates
HB1840,"Department of Education; school boards; student online activity; data collection, monitoring, and restrictions.",H0377,Oates
HB1841,Motor vehicle sales and use tax; abandoned vehicles not sold at auction.,H0328,Wyatt
HB1842,Industrial development authorities; Town of Front Royal.,H0377,Oates
HB1843,"Legal holidays; replaces Columbus Day, the second Monday in October, with Indigenous Peoples' Day.",H0281,Krizek
HB1844,Baby Food Protection Act; testing and labeling requirements for toxic heavy metals.,H0340,Maldonado
HB1845,Limitation on prosecution of felony due to lapse of time after finding of probable cause; exception.,H0352,Arnold
HB1846,Application for change of name; person required to register on the Sex Offender and Crimes Against Minors Registry; victim notification.,H0352,Arnold
HB1847,Admission to bail; creates rebuttable presumptions against bail.,H0352,Arnold
HB1848,"Controlled substances; possession unlawful, second or subsequent conviction, mandatory minimum fine.",H0352,Arnold
HB1849,"Fentanyl; manufacturing, selling, etc., weight-based and pill-based penalties.",H0352,Arnold
HB1850,Limitation on prosecution of felony due to lapse of time after finding of probable cause; exceptions; competency evaluation.,H0352,Arnold
HB1851,"Workers' compensation; presumption for certain cancers, sheriffs and deputy sheriffs.",H0352,Arnold
HB1852,"Definition of ""family or household member.""",H0352,Arnold
HB1853,"Deputy Hunter D. Reedy Memorial Bridge; designating as bridge on Adwolfe Rd., etc. over I-81.",H0352,Arnold
HB1854,"Persons with legitimate interest; parent whose rights have previously been terminated, custody, etc.",H0352,Arnold
HB1855,"Public, private, or religious elementary or secondary school; threats to bomb or damage.",H0352,Arnold
HB1856,Amber warning lights; certain department of social services vehicles.,H0352,Arnold
HB1857,Department of Professional and Occupational Regulation; boards; appointment requirements; years of experience.,H0352,Arnold
HB1858,Limitation on prosecution of felony due to lapse of time after finding of probable cause; certified misdemeanors.,H0352,Arnold
HB1859,Unlawful picketing or parading to obstruct or influence justice; penalty.,H0352,Arnold
HB1860,"Nursing, Board of; waiver of regulations related to nursing faculty ratios.",H0284,Price
HB1861,Department of Health Professions; health regulatory boards; regulations; licensure by endorsement.,H0284,Price
HB1862,Absentee voting in person; available beginning 14 days prior to primary election.,H0267,Bloxom
HB1863,Voter registration; time period for closing registration records before elections;,H0267,Bloxom
HB1864,"Garnishments; automatic exemption, accounts with depository institution.",H0366,Hernandez
HB1865,Virginia Access to Justice Act.,H0354,Callsen
HB1866,Corporate income tax; sourcing of sales other than sales of tangible personal property.,H0308,McNamara
HB1867,"Va. Residential Landlord and Tenant Act; terms and conditions of rental agreement, renewal notice.",H0375,McClure
HB1868,Real property tax exemption; surviving spouses of members of armed forces who died in line of duty.,H0360,Feggans
HB1869,"Firearms; purchase, etc., assault and battery of family member or intimate partner, penalties.",H0375,McClure
HB1870,Virginia Residential Landlord and Tenant Act; algorithmic device services or products prohibited; civil penalty.,H0354,Callsen
HB1871,Transfer on death deeds; inter vivos deed conveying real property to another.,H0264,Simon
HB1872,"Virginia Residential Landlord and Tenant Act; adverse action by landlord, tenant remedies.",H0366,Hernandez
HB1873,Release of accused on secured or unsecured bond.,H0354,Callsen
HB1874,"Retired or former law-enforcement officers; definition, publication of personal information.",H0365,Henson
HB1875,Electric utilities; renewable energy portfolio standard program; zero-carbon electricity.,H0267,Bloxom
HB1876,"Capitol Sq. or building owned/leased by the Commonwealth, carrying firearm/explosive material, etc.",H0354,Callsen
HB1877,Barrier crimes; peer recovery specialists; screening requirements.,H0354,Callsen
HB1878,State Council of Higher Education for Virginia; renaming Director as Executive Director.,H0343,Sewell
HB1879,Department of Housing and Community Development; rental assistance pilot program.,H0343,Sewell
HB1880,Public schools; enrollment of certain military children with disabilities; provision of special education services and accommodations.,H0343,Sewell
HB1881,Public elementary and secondary schools; enrollment; dependent students of active duty service members; policies.,H0343,Sewell
HB1882,Protective orders; military protective orders.,H0343,Sewell
HB1883,Electric utilities; renewable energy portfolio standard program requirements.,H0354,Callsen
HB1884,Protection of memorials for war veterans.,H0348,Williams
HB1885,Juvenile/adult adjudicated delinquent/convicted of violent juvenile felony; immigration status.,H0348,Williams
HB1886,Defendants; payment of costs when proceedings deferred and person placed on probation.,H0375,McClure
HB1887,"Mineral Mine Safety Act; definition of ""surface mineral mine""; mine inspectors; certificate renewal; use of cyanide or cyanide compound.",H0267,Bloxom
HB1888,Immunity of persons for tort actions based on statements made in connection with certain proceedings.,H0264,Simon
HB1889,Notarial act; definition.,H0264,Simon
HB1890,Public school teachers; teacher compensation; Professionally Licensed Teacher Supplemental Pay Program established.,H0360,Feggans
HB1891,Transfer of certain incarcerated persons to U.S. Immigration and Customs Enforcement.,H0333,Ballard
HB1892,Children with disabilities; annual individualized education program planning process; dual enrollment courses; certain parental notification required.,H0351,Seibold
HB1893,State plan for medical assistance services; recovery residences; work group; report.,H0351,Seibold
HB1894,"State correctional facilities; cell and facility conditions, temperature monitoring.",H0351,Seibold
HB1895,"Involuntary temporary detention orders; amends definition of ""psychiatric emergency department.""",H0327,Willett
HB1896,Real property tax; exemption by classification.,H0327,Willett
HB1897,"Master's social worker; scope of practice, regulations.",H0327,Willett
HB1898,Optometry; TPA-Formulary; TPA-Formulary Committee; dissolution.,H0327,Willett
HB1899,License to teach dentistry; foreign dental program graduates; repeal sunset.,H0327,Willett
HB1900,Rapid whole genome sequencing;  state plan for medical assistance services.,H0327,Willett
HB1901,"Virginia Sports Tourism Grant Program; established, report.",H0327,Willett
HB1902,Board of Health; Department of Health Professions; Prescription Monitoring Program; overdose information.,H0327,Willett
HB1903,Virginia Health Workforce Development Authority; Virginia Nursing Workforce Center established; reporting and monitoring of health care workforce programs; residency slots; work group; report.,H0327,Willett
HB1904,"Certified nurse midwives, licensed certified midwives, etc.; coverage for nursery services.",H0327,Willett
HB1905,Compounding drugs; exceptions for distribution within hospital or health system.,H0327,Willett
HB1906,Local departments of social services and health districts; screening for unmet social needs.,H0327,Willett
HB1907,Blue catfish; Board of Wildlife Resources to amend regulations to remove one-fish daily limit.,H0369,Kent
HB1908,Virginia Institute of Marine Science; study of the cumulative impacts of surface water intakes on aquatic fauna and water quality in the Chesapeake Bay and its major Virginia tributaries; report.,H0369,Kent
HB1909,"Agricultural Education Excellence, Virginia Commission for; established, report, sunset.",H0369,Kent
HB1910,Public elementary and secondary schools; nutritional standards for school meals and other foods.,H0369,Kent
HB1911,"Veterans' Services Protection Act; created, prohibited practices, penalty.",H0343,Sewell
HB1912,"Wills, trusts, and fiduciaries; Consumer Price Index adjustments, modification of uneconomic trust.",H0380,Reaser
HB1913,Land records; recording and indexing fees.,H0380,Reaser
HB1914,Compensation for wrongful incarceration; compensation for certain intentional acts.,H0269,Sullivan
HB1915,Public school teachers; written notice of noncontinuation of continuing contract.,H0380,Reaser
HB1916,"Waste tire disposal by producers and haulers; fee, requirements, report.",H0371,Laufer
HB1917,"Higher educational institutions, public and private; confidential resource advisors.",H0374,Martinez
HB1918,"Women's Menstrual Health Program; established, information collection,etc.",H0372,LeVere Bolling
HB1919,"Workplace violence policy; required for certain employers, civil penalty.",H0173,Ward
HB1920,Charitable gaming; remuneration for bingo callers and bingo managers.,H0173,Ward
HB1921,"Employment; paid sick leave, civil penalties, effective date.",H0173,Ward
HB1922,"Small SWaM Business Procurement Enhancement Program; established, report.",H0173,Ward
HB1923,"Health insurance; reimbursement for services rendered by certain practitioners, etc.",H0173,Ward
HB1924,School boards; prohibition against hiring or contracting for the services of certain individuals.,H0173,Ward
HB1925,Virginia Alcoholic Beverage Control Authority; police power; primary law-enforcement agency for certain larceny-related offenses.,H0173,Ward
HB1926,Traffic control device and traffic light signal violation monitoring systems; issuance of summons.,H0173,Ward
HB1927,Department of Medical Assistance Services; remote monitoring services for pregnant and postpartum patients; reimbursement.,H0372,LeVere Bolling
HB1928,Minimum wage.,H0173,Ward
HB1929,Pregnancy mobile application; Department of Health to contract with a mobile developer to create.,H0372,LeVere Bolling
HB1930,Christopher Newport University Board of Visitors; annual meetings.,H0173,Ward
HB1931,Regional Older Adults Facility Team; central/eastern Va. to establish.,H0372,LeVere Bolling
HB1932,"Property Appraisal and Valuation Equity, Task Force on; created, report, sunset.",H0372,LeVere Bolling
HB1933,Workers' compensation; presumption as to death or disability from throat cancer.,H0372,LeVere Bolling
HB1934,Electric utilities; generation of electricity from renewable and zero carbon sources.,H0372,LeVere Bolling
HB1935,"Income Qualified Energy Efficiency and Weatherization Task Force; established, report.",H0372,LeVere Bolling
HB1936,Teacher training; DOE to establish and maintain an index of each training.,H0380,Reaser
HB1937,"Acute psychiatric bed registry; patient privacy and data security, etc.",H0219,Hope
HB1938,Elections; prohibited area within five feet of any area designated for voting outside polling place.,H0301,Reid
HB1939,Tangible personal property tax; electric landscaping equipment.,H0301,Reid
HB1940,International licensure and certification; regulations.,H0327,Willett
HB1941,"Invasive plant species; retail sales, penalty, delayed effective date January 1, 2027.",H0351,Seibold
HB1942,"Financial institutions; regulation of money transmitters, penalty, effective date.",H0314,Cole
HB1943,Virginia Fair Housing Law; unlawful discriminatory housing practices.,H0314,Cole
HB1944,Legal notices; advertisement on website.,H0351,Seibold
HB1945,"School boards; school-based telehealth and mental health teletherapy services, accessibility.",H0380,Reaser
HB1946,"Retail tobacco and hemp products; smoking by a person younger than 21 years of age, prohibitions.",H0219,Hope
HB1947,Department of Education; survey of local education agencies on school-based mental and behavioral health services; report.,H0351,Seibold
HB1948,Abandoned Mine Land Grant Retention Fund established.,H0177,Bulova
HB1949,Coastal storm risk management; Off. of Commonwealth Resilience to study cost of feasibility study.,H0366,Hernandez
HB1950,Living Shoreline Grant Fund; established.,H0366,Hernandez
HB1951,"Workers' compensation; post-traumatic stress, anxiety, or depressive disorders, dispatchers.",H0347,Wachsmann
HB1952,"Voter registration; lists of registered voters and persons voting, publication of costs.",H0347,Wachsmann
HB1953,Elections; prohibited area within 10 feet of the curbside voting area.,H0347,Wachsmann
HB1954,Public school funding and staffing; special education students; support services positions.,H0266,Rasoul
HB1955,"Manufacturing, selling, giving, distributing, or possessing with intent to manufacture, sell, give, or distribute a controlled substance or an imitation controlled substance prohibited; penalties.",H0361,Gardner
HB1956,Provider contracts; pharmacies allowed to refuse to fill certain prescriptions.,H0347,Wachsmann
HB1957,"SOL assessments & related student assessment methods; assessment development, etc., reform.",H0317,Helmer
HB1958,School breakfasts; availability at no cost to students.,H0334,Bennett-Parker
HB1959,Child Care Subsidy Program waiting list; target timeline for assigning slots to priority groups.,H0334,Bennett-Parker
HB1960,Firearm transfers to another person from a prohibited person.,H0334,Bennett-Parker
HB1961,Public elementary & secondary school; student cell phone & smart device possession & use policies.,H0266,Rasoul
HB1962,"Income tax, state; creates nonfamily adoption tax credit.",H0345,Tata
HB1963,Virginia Military Community Infrastructure Grant Program; guidance and criteria for awarding grants.,H0345,Tata
HB1964,Future in Focus Program; established.,H0345,Tata
HB1965,"Income tax, state; deduction for tips and overtime compensation.",H0345,Tata
HB1966,Commercial use of public places; civil penalty.,H0345,Tata
HB1967,Commonwealth Aviation Fund; changes allocation amounts.,H0294,Delaney
HB1968,"Victims of crime; compensation, extends time for filing a claim.",H0294,Delaney
HB1969,"Taxation; extension of expiring sunsets, etc.",H0108,Watts
HB1970,Tax exempt property; nonprofit institutions of learning.,H0108,Watts
HB1971,"Danville, City of; new charter (previous charter repealed).",H0150,Marshall
HB1972,"Early childhood care & education; statewide unified public-private system, capacity & family choice.",H0361,Gardner
HB1973,"Affordable housing; preservation, definitions, civil penalty.",H0334,Bennett-Parker
HB1974,"Mattress Stewardship Program; established, report, civil penalties.",H0371,Laufer
HB1975,Patient-initiated consultation; state plan for medical assistance.,H0371,Laufer
HB1976,High-risk pregnant patients; remote patient monitoring services available to patients.,H0371,Laufer
HB1977,Weapons; possession prohibited in a hospital that provides mental health or developmental services.,H0366,Hernandez
HB1978,Assisted living facility administrators; Joint Commission on Health Care to study licensure.,H0355,Cohen
HB1979,"Wage garnishment; recovery of certain improper payment, etc., state tax debt.",H0366,Hernandez
HB1980,Employment health and safety standards; heat illness prevention.,H0366,Hernandez
HB1981,"Alcoholic beverage control; illegal advertising, exceptions, charitable sales promotion.",H0317,Helmer
HB1982,"Commonwealth Mass Transit Fund; allocations, Hampton Roads Transportation Accountability Commission.",H0311,Askew
HB1983,Board of Education; support services personnel; annual collection of certain staffing data required; report.,H0311,Askew
HB1984,"Data centers; sitings near parks, schools, and residential areas.",H0373,Lovejoy
HB1985,Child support orders; date of conception.,H0373,Lovejoy
HB1986,"Virginia Retirement System; return to work for law-enforcement officers, effective date.",H0373,Lovejoy
HB1987,Disclosures in land use proceedings; statewide application.,H0373,Lovejoy
HB1988,"Local school boards; powers and duties, binding arbitration agreements.",H0311,Askew
HB1989,"Medical cannabis program; changes requirements for product labels, dispersing cannabis products.",H0311,Askew
HB1990,Election of certain governing bodies; conversion to single-member districts.,H0311,Askew
HB1991,Domestic and Sexual Assault Conviction Database; established.,H0373,Lovejoy
HB1992,"Emergency Management;  Secretary of Public Safety and Homeland Security et al., to evaluate needs.",H0311,Askew
HB1993,"Public school buses; display of advertising, hiring of school bus drivers.",H0334,Bennett-Parker
HB1994,Alcoholic beverage control; requirements for restaurant retail licensees.,H0334,Bennett-Parker
HB1995,SCHEV; regulation of certain private and out-of-state institutions of higher education.,H0334,Bennett-Parker
HB1996,Planning and zoning; second public hearing notice.,H0334,Bennett-Parker
HB1997,"Income tax, state; pass-through entities, sunset.",H0308,McNamara
HB1998,Sexual extortion; penalty.,H0325,Walker
HB1999,"Energy Innovation Pilot Program; established, report.",H0308,McNamara
HB2000,"Dam Safety Act; powers and duties of DCR, rights and requirements of dam owners, civil penalty.",H0371,Laufer
HB2001,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.",H0308,McNamara
HB2002,"Voter registration; cancellation of registration, sources of data.",H0371,Laufer
HB2003,Electric utilities; regional transmission entities; annual report.,H0371,Laufer
HB2004,Local meals and prepared food and beverage taxes; maximum rate.,H0308,McNamara
HB2005,"Roanoke, City of; amending charter, appointment of director of real estate valuation.",H0308,McNamara
HB2006,RS and UT; food purchased for human consumption and essential personal hygiene products.,H0308,McNamara
HB2007,Retail Sales and Use Tax; sales through vending machines.,H0308,McNamara
HB2008,Virginia Erosion and Stormwater Management Program authority; right of entry.,H0374,Martinez
HB2009,"Career and technical education courses, pathways, and credentials; biennial review, report.",H0350,Campbell
HB2010,Children; admissibility of statements in certain cases.,H0378,Obenshain
HB2011,Voter registration; cancellation of registration by voter.,H0325,Walker
HB2012,Film industry community zones; local designation.,H0325,Walker
HB2013,"School admission documents, certain; street address or route number requirement.",H0371,Laufer
HB2014,Sex Offender and Crimes Against Minors Registry; registration intervals for Tier I and Tier II offenses.,H0378,Obenshain
HB2015,Firearms-related offenses; mandatory minimum sentence; penalty.,H0378,Obenshain
HB2016,Veterans; provision of copies of vital records.,H0378,Obenshain
HB2017,"Public schools; student support services, student personal information and data security, report.",H0353,Anthony
HB2018,"Teachers; career and technical education, alternative pathway to provisional licensure.",H0353,Anthony
HB2019,"Shenandoah, Town of; new charter (previous charter repealed).",H0181,Gilbert
HB2020,Highway maintenance; Town of New Market.,H0181,Gilbert
HB2021,"Fair Voice Purchasing Act; established, penalties.",H0351,Seibold
HB2022,Registration of aircraft; fees.,H0353,Anthony
HB2023,"Independent Pharmacy Support Program; established, report, sunset.",H0353,Anthony
HB2024,"Solar photovoltaic equipment, etc.; national environmental protection and product safety standards.",H0351,Seibold
HB2025,Wildlife corridors or crossings; action plan and programs.,H0361,Gardner
HB2026,Data centers; industrial zoning.,H0382,Thomas
HB2027,State Corporation Commission; certificate of operation for high load facilities.,H0382,Thomas
HB2028,School boards; entitlement to one-time fee from certain data centers.,H0382,Thomas
HB2029,Real property tax; exemption for elderly and disabled individuals.,H0366,Hernandez
HB2030,"Environmental Justice Task Force; established, report.",H0353,Anthony
HB2031,"Sewage disposal; alternative onsite sewage systems, elimination of report filing fee.",H0073,Orrock
HB2032,English language learner expenditures & students; DOE shall develop data collection process.,H0380,Reaser
HB2033,Alcoholic beverage control retail licensees and employees; training on human trafficking.,H0323,Simonds
HB2034,"Tidal and nontidal wetlands; wetland restoration and creation policy task force, report.",H0323,Simonds
HB2035,High-energy facilities; water and energy usage info. reports statewide clearinghouse established.,H0323,Simonds
HB2036,"Reckless driving; exhibition driving, penalties.",H0177,Bulova
HB2037,Land development; solar canopies in surface parking areas.,H0177,Bulova
HB2038,"Insecure uncrewed aircraft systems; prohibition on procurement and use, report.",H0353,Anthony
HB2039,"Encrypted telecommunications; DCJS, et al., to establish a model policy on use.",H0264,Simon
HB2040,"Speech-language pathology assistants; licensure, qualifications, scope of practice.",H0351,Seibold
HB2041,Speed safety cameras; placement and operation.,H0351,Seibold
HB2042,Certified public accountant; educational requirements to qualify for CPA licensure.,H0351,Seibold
HB2043,"Consumer Data Protection Act; user-generated content protected, civil penalty.",H0353,Anthony
HB2044,Teachers; employment and licensure; locally awarded subject matter expert teaching credentials.,H0325,Walker
HB2045,State Council of Higher Education for Virginia; publishing of certain institution-level data on website required.,H0325,Walker
HB2046,"High-risk artificial intelligence; development, deployment, and use by public bodies, report.",H0353,Anthony
HB2047,"Virginia Residential Landlord and Tenant Act; algorithmic pricing devices, report.",H0353,Anthony
HB2048,Virginia Housing Trust Fund; geographic equity impact assessment.,H0353,Anthony
HB2049,Retail Sales and Use Tax; exemption for purchase of motor vehicle child restraint device.,H0351,Seibold
HB2050,Occoquan Reservoir PFAS Reduction Program; established.,H0177,Bulova
HB2051,"Division superintendents, etc.; annual meetings on school grounds w/ local law enforcement.",H0363,Green
HB2052,"Certain gov't. & civics courses; civics diploma seal of excellence, instruction on local government.",H0363,Green
HB2053,"Student literacy instruction, etc.; completion of self-audit, higher educational institutions.",H0380,Reaser
HB2054,Affordable housing; application for special use permit for assisted living facilities.,H0380,Reaser
HB2055,Student health and safety; responsibility to contact parent of student at imminent risk of suicide.,H0380,Reaser
HB2056,"Absentee voting in person; voter satellite offices, days and hours of operation.",H0380,Reaser
HB2057,"Voter registration; automatic registration of hunting, fishing, and milk distributor license.",H0363,Green
HB2058,Alcoholic beverage control; delivery of mixed beverages.,H0281,Krizek
HB2059,Virginia's Great Outdoors Act; land preservation distributions and appropriations.,H0281,Krizek
HB2060,"Workers' compensation benefits; post-traumatic stress disorder incurred by firefighters, etc.",H0281,Krizek
HB2061,"Cumberland State Forest; boundary line agreement and quitclaim of interest, etc.",H0362,Garrett
HB2062,"Income tax, state; eliminates sunset date, veteran student loan forgiveness.",H0362,Garrett
HB2063,School employees; reports of certain arrests and convictions.,H0362,Garrett
HB2064,Firearm locking device; required for sale or transfer of firearm.,H0375,McClure
HB2065,"Fire Programs Fund; aid to localities, requirement for emergency incidents reporting.",H0382,Thomas
HB2066,"School boards; employee criminal history records checks and applications, penalty for noncompliance.",H0362,Garrett
HB2067,"Statewide Fire Prevention Code; consumer fireworks, penalties.",H0362,Garrett
HB2068,Local land use; authority for decision belongs solely to locality.,H0362,Garrett
HB2069,Insurance; additional purposes for Fire Programs Fund Aid to Localities Grant Program established.,H0362,Garrett
HB2070,Virginia Retirement System; service credit for career and technical education teachers.,H0362,Garrett
HB2071,"DVS; powers and duties of Commissioner, identification of incarcerated veterans.",H0382,Thomas
HB2072,"Standards of School Safety; Board of Education, et al., to establish.",H0362,Garrett
HB2073,"Financial institutions; discrimination prohibited, penalty.",H0362,Garrett
HB2074,Portable changeable message signs; certain vehicles authorized to be equipped with signs.,H0375,McClure
HB2075,Sexual abuse of children; penalty.,H0362,Garrett
HB2076,"Income tax, state; subtraction for volunteer firefighters and emergency medical services personnel.",H0362,Garrett
HB2077,"Virginia Community Flood Preparedness Fund; loan and grant program, eligible recipients.",H0281,Krizek
HB2078,Charitable gaming; certain common interest communities qualified to conduct bingo.,H0382,Thomas
HB2079,"Pharmacy, Board of; membership, EMS agencies authorized to obtain controlled substance registration.",H0382,Thomas
HB2080,Registration decals; discontinued.,H0253,Austin
HB2081,Virginia Human Rights Act; unlawful discrimination.,H0362,Garrett
HB2082,Department of Medical Assistance Services; appeals of agency determinations.,H0219,Hope
HB2083,Pregnant qualified individuals; Va. Health Benefit Exchange to establish special enrollment period.,H0344,Shin
HB2084,Public utilities certain; SCC shall determine if using reasonable classifications of customers.,H0344,Shin
HB2085,"Health insurance; carrier business practices, method of payment for claims.",H0344,Shin
HB2086,"Income tax, state; energy efficient homes tax credits.",H0344,Shin
HB2087,"Electric utilities; transportation electrification, definitions.",H0344,Shin
HB2088,Va. Forensic Nursing Advisory Council; established.,H0344,Shin
HB2089,Collective bargaining; individual home care providers.,H0344,Shin
HB2090,"Multi-family shared solar program; amends requirements for a shared facility, etc.",H0344,Shin
HB2091,"Workforce Development and Advancement, Department of; powers and duties.",H0344,Shin
HB2092,"Buchanan, Town of; amending charter, town elections, etc.",H0253,Austin
HB2093,Adult adoptee access to original birth certificate; contact preference form.,H0325,Walker
HB2094,"High-risk artificial intelligence; development, deployment, and use, civil penalties.",H0340,Maldonado
HB2095,Fraudulent insurance acts; penalty.,H0328,Wyatt
HB2096,"Intelligent Speed Assistance Program; established, penalty.",H0219,Hope
HB2097,Health insurance; coverage requirements for prostate cancer screenings.,H0253,Austin
HB2098,"Labor & employment provisions; application of law, protection of employees, definition of employer.",H0340,Maldonado
HB2099,Health insurance; required provisions regarding prior authorization for health care services.,H0340,Maldonado
HB2100,"Medicare supplement policies; annual open enrollment period, individual Medicare policies, etc.",H0340,Maldonado
HB2101,Electric utilities; data center cost allocation.,H0340,Maldonado
HB2102,"Pregnant individuals; DMAS to seek federal authority to implement presumptive eligibility, etc.",H0360,Feggans
HB2103,Regulations Governing Allowable Credit for Teaching Experience; etc.,H0369,Kent
HB2104,"Seizure rescue meds.; administration by certain school employees, possession by certain students.",H0334,Bennett-Parker
HB2105,Regional correctional facilities; investigation of acts of violence.,H0369,Kent
HB2106,Health insurance; prohibits pharmacy override for enrollee with sickle cell disease.,H0347,Wachsmann
HB2107,"Health insurance; pharmacies, freedom of choice, delivery of prescription drugs, penalties.",H0347,Wachsmann
HB2108,Motion picture production; Increases aggregate cap on tax credit.,H0208,Herring
HB2109,"Maternal Health Data and Quality Measures, Task Force on; State Health Commissioner to reestablish.",H0208,Herring
HB2110,"Resale Disclosure Act; resale certificate, prohibition on requiring purchaser's name.",H0264,Simon
HB2111,Virginia Criminal Sentencing Commission; increase membership.,H0208,Herring
HB2112,"Safeguarding American Veteran Empowerment Act; created, prohibited practices, penalties.",H0208,Herring
HB2113,"Solar Interconnection Grant Program; established, sunset, report.",H0208,Herring
HB2114,Collection of state taxes; period of limitations on collection.,H0370,Keys-Gamarra
HB2115,"Summonses of a juvenile; custody, visitation, and support proceedings.",H0370,Keys-Gamarra
HB2116,Driver's licenses and identification cards; indication of non-apparent disability.,H0370,Keys-Gamarra
HB2117,Experiencing or reporting an overdose or act of sexual violence; arrest and prosecution.,H0370,Keys-Gamarra
HB2118,Public schools; delayed implementation and review of revised public school accountability system.,H0370,Keys-Gamarra
HB2119,Certificate of public need; task force to develop recommendation for expedited application & review.,H0325,Walker
HB2120,"Vulnerable adults; seizure of property used in connection with financial exploitation, etc.",H0340,Maldonado
HB2121,"Digital Content Authenticity and Transparency Act; established, civil penalty.",H0340,Maldonado
HB2122,Manufactured Home Lot Rental Act; landlord obligations.,H0340,Maldonado
HB2123,"Protective orders; maximum time valid, exception.",H0340,Maldonado
HB2124,"Synthetic digital content; definition, penalty, report, effective clause.",H0340,Maldonado
HB2125,State Government Internship Coordinator; DHRM to establish and employ.,H0269,Sullivan
HB2126,Virginia Energy Facility Review Board established; localities; comprehensive plan and local ordinances related to siting of critical interconnection projects; planning district commissions; regional energy plans; Virginia Clean Energy Technical Assistance Center established.,H0269,Sullivan
HB2127,Local gov't. employees; establishes framework for locality to establish & implement telework policy.,H0376,Milde
HB2128,Derelict buildings; expands authority of localities to impose civil penalties.,H0325,Walker
HB2129,Exchange of items on roadways; ability of localities to prohibit.,H0376,Milde
HB2130,Juvenile respondent in protective order proceeding; other dispositions.,H0370,Keys-Gamarra
HB2131,Practice of medicine; advertising of prescription drugs or devices.,H0376,Milde
HB2132,Erosion and sediment control for certain localities; bond for sediment basin.,H0376,Milde
HB2133,Health insurance; coverage for breast examinations for high-risk individuals.,H0370,Keys-Gamarra
HB2134,"American Indians, Va. recognized tribes, and federally recognized tribes; definitions, sovereignty.",H0281,Krizek
HB2135,Unemployment compensation; allowance for dependents.,H0370,Keys-Gamarra
HB2136,"Public Utility Ombudsman,Office of the; established.",H0370,Keys-Gamarra
HB2137,Affordable dwelling unit program; City of Falls Church.,H0264,Simon
HB2138,"Commissioner of Hwys.; prequalification program for self-bonding program, removes certain reports.",H0383,Zehr
HB2139,"Elections; form of ballot, party identification, option for candidates for local offices.",H0325,Walker
HB2140,"Elections; campaign finance disclosure reports, searchable electronic database.",H0281,Krizek
HB2141,Signs or advertisements within the limits of a highway; increases civil penalty.,H0376,Milde
HB2142,Land use; refund by localities of certain application fees.,H0376,Milde
HB2143,Animal-drawn vehicles; equipment requirements.,H0383,Zehr
HB2144,"Drug Control Act; manufacturers, wholesale distributors, etc., annual report.",H0376,Milde
HB2145,Firearms; purchase special identification without a photograph.,H0383,Zehr
HB2146,"Actions for medical malpractice; minors, gender transition procedures.",H0383,Zehr
HB2147,Tax increment financing; use of other local taxes.,H0376,Milde
HB2148,"Proposed plat, site plan, etc.; time period for action by local planning commission.",H0376,Milde
HB2149,"Zoning for Housing Production Pilot Program; created, report, sunset.",H0212,Carr
HB2150,Virginia Public Procurement Act; contract terms inconsistent with Virginia law.,H0212,Carr
HB2151,Virginia Residential Landlord and Tenant Act; revises definition of community land trust.,H0212,Carr
HB2152,Virginia Freedom of Information Act; public body's FOIA officer training.,H0212,Carr
HB2153,Comprehensive plan; housing development by nonprofit organizations.,H0212,Carr
HB2154,Architects; alternative to education requirement for licensure.,H0212,Carr
HB2155,"Private schools, certain; memoranda of understanding with local law enforcement permitted.",H0212,Carr
HB2156,"Students from foreign countries; student exchange programs, tuition and fee waivers.",H0212,Carr
HB2157,Richard Bland College; governance.,H0212,Carr
HB2158,General system of schools for incarcerated individuals; established.,H0212,Carr
HB2159,School crossing zones; expands definition to include higher educational institutions.,H0212,Carr
